2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /license.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /log.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /hell.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /pmd_online.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /x.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /shell.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /htdocs.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /b.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /sane.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:24 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /desktop.ini.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /z.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /lala.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /lala-dpr.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /wpc.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /wpo.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
2019/05/08 19:04:25 [error] 6#6: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 61.228.229.247, server: drone.bytelurk.com, request: "GET /t6nv.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "149.129.54.76"
